subject	condition	isRight	leftIsRight	rightIsRight	isPartRight	leftIsPartRight	rightIsPartRight	isNormRight	isNormLeftRight	isNormRightRight	problem	leftResp	rightResp	exampleSortMoves	sortMoves	sortTime	sortAcc	testAcc	testTime	aveUniqueCWordNBPercentCor	aveCWordLengthNBCor	origAcc
p858319	active	0	0	0	0	0	0	0	0	0	pbp13	The objects are static and won't move	The objects will move.	12	18	76723	0.666666667	0.75	48854	0.508420209	3.46	0.115384615
p879671	passive	1	1	1	1	1	1	1	1	1	pbp09	the two green items would fall in opposite directions	the two green items would fall in the same direction	13	13	31378	0.923076923	1	28372	0.285384331	4.25	0.285714286
p88467	passive	0	0	0	0	0	0	0	0	0	pbp19	They are falling rapidly	They are falling not as fast	12	18	55931	0.666666667	0.25	33810	0.490123457	3.480769231	0.15
p891647	active	1	1	1	1	1	1	1	1	1	pbp28	the objects are not stable they can move	the objects are more stable they dont really move	14	20	122369	0.6	0.875	43141	0.55625	3.75	0.52173913
p891913	passive	1	1	1	1	1	1	1	1	1	pbp04	all squares	all circles	12	14	61057	0.857142857	1	25203	0.34939759	2.075	0.625
p894502	passive	1	1	1	1	1	1	1	1	1	pbp19	Will fall through air to the ground.	Will not fall through air to the ground.	12	14	48183	0.857142857	0.875	36538	0.490123457	3.480769231	0.15
p898318	passive	0	0	0	0	0	0	0	0	0	pbp24	I don't see a rule	I don't see a rule	16	26	199089	0.461538462	0.5	83000	0.307647059	4.455882353	0.173913043
p909564	passive	1	1	1	1	1	1	1	1	1	pbp04	These are boxes	These are circles	12	15	90356	0.8	1	48714	0.34939759	2.075	0.625
p913708	passive	0	0	0	0	0	0	0	0	0	pbp19	I used the after/before relationship after a few rule checks to categorize them afterwards.	The placement and similarity of these images were closer in more regards than the left side.	17	17	56216	0.705882353	0.625	70258	0.490123457	3.480769231	0.15
p914435	passive	0	0	0	0	0	0	0	0	0	pbp18	Going to fall to the left or closer to the left side of screen.	Going to fall to the right or closer to the right side.	12	17	72173	0.705882353	0.625	72015	0.304831933	3.2375	0.208333333
p916000	active	0	0	0	0	0	0	0	0	0	pbp19	go the opposite way from right scenes	go opposite from left scenes	18	21	94739	0.571428571	0.375	73351	0.490123457	3.480769231	0.15
p926945	active	1	1	1	1	1	1	0	0	0	pbp19	Potential to fall	No potential to fall	12	17	76822	0.705882353	0.875	81627	0.490123457	3.480769231	0.15
p928183	passive	1	1	1	1	1	1	1	1	1	pbp02	Only One Object	Two objects	15	14	26560	0.857142857	1	27481	0.322265492	2.630434783	0.875
p929186	active	1	1	1	1	1	1	0	0	0	pbp13	no space in between pieces	space in between pieces	12	21	83582	0.571428571	0.75	41134	0.508420209	3.46	0.115384615
p929643	active	0	0	0	0	0	0	0	0	0	pbp18	I honestly don't know.	I honestly don't know.	14	20	65582	0.6	0.625	75867	0.304831933	3.2375	0.208333333
p930057	passive	0	0	0	0	0	0	0	0	0	pbp18	balls are heavy	balls are light	13	17	193749	0.705882353	0.75	80338	0.304831933	3.2375	0.208333333
p930129	passive	1	1	1	1	1	1	0	1	0	pbp04	four-sided figures	round figures	14	12	50513	1	1	28729	0.34939759	2.075	0.625
p936104	passive	0	0	0	0	0	0	0	0	0	pbp18	They fell to the right. 	They fell to the left. 	15	17	118255	0.705882353	0.375	51260	0.304831933	3.2375	0.208333333
p936163	passive	1	1	1	1	1	1	1	1	1	pbp28	They can roll	They can't roll	12	20	105050	0.6	0.375	50859	0.55625	3.75	0.52173913
p941544	active	1	1	1	1	1	1	1	1	1	pbp11b	OBJECTS CLOSE TOGETHER	OBJECTS SPACED FURTHER APART	13	18	80539	0.666666667	0.75	60225	0.327441706	2.820512821	0.380952381
p941771	passive	0	0	0	0	0	0	0	0	0	pbp09	They are perpendicular.	Are opposites.	19	15	50863	0.8	0.5	45236	0.285384331	4.25	0.285714286
p947007	active	0	0	0	1	1	1	0	0	0	pbp26	These fall to the left.	These fall to the right.	15	22	126364	0.545454545	0	91112	0.298013041	2.965116279	0.35
p948823	active	1	1	1	1	1	1	1	1	1	pbp19	Objects will be in the air at some point.	Objects are always on the grounds.	12	15	41159	0.8	0.875	30977	0.490123457	3.480769231	0.15
p957154	active	1	1	1	1	1	1	1	1	1	pbp04	"squares in number order : 1,2,3"	"circles in number order : 1,2,3"	14	15	38497	0.8	1	30179	0.34939759	2.075	0.625
p960619	passive	0	0	0	0	0	0	0	0	0	pbp28	scenes matched	items were moving towards the right	16	15	41313	0.8	0.5	20875	0.55625	3.75	0.52173913
p963351	active	0	0	0	1	1	1	0	0	0	pbp24	centered	off-centered	15	14	59881	0.857142857	0.875	26434	0.307647059	4.455882353	0.173913043
p972445	active	0	0	0	0	0	0	0	0	0	pbp24	there isnt one	There isnt one	12	18	68201	0.666666667	0.625	51868	0.307647059	4.455882353	0.173913043
p975630	passive	1	1	1	1	1	1	1	1	1	pbp04	they are all square	they are all circles	14	18	91044	0.666666667	1	35180	0.34939759	2.075	0.625
p9766	active	0	0	0	0	0	0	0	0	0	pbp18	leaning to the left	leaning to the right	18	18	67442	0.666666667	0.5	60792	0.304831933	3.2375	0.208333333
p978594	passive	0	0	0	0	0	0	0	0	0	pbp13	objects going to fall to the left	objects going to fall towards the right	12	17	63539	0.705882353	0.125	35144	0.508420209	3.46	0.115384615
p979064	active	0	0	0	0	0	0	0	0	0	pbp11b	falling to the left	falling to the right	13	18	86180	0.666666667	0.5	65921	0.327441706	2.820512821	0.380952381
p981102	passive	0	0	0	1	1	1	0	0	0	pbp24	The objects are lined up with each other.	The objects are NOT lined up with each other.	12	15	54969	0.8	0.875	22207	0.307647059	4.455882353	0.173913043
p990533	passive	1	1	1	1	1	1	1	1	1	pbp09	Fall or move in different directions.	Fall or move in the same direction.	14	18	94046	0.666666667	0.625	107781	0.285384331	4.25	0.285714286
p990861	active	1	1	1	1	1	1	1	1	1	pbp16	Circle on the left	Circle on the right	13	12	27979	1	1	20859	0.355523072	3.214285714	0.47826087
