"subject"	"condition"	"workerId"	"isRight"	"leftIsRight"	"rightIsRight"	"isPartRight"	"leftIsPartRight"	"rightIsPartRight"	"isNormRight"	"isNormLeftRight"	"isNormRightRight"	"problem"	"leftResp"	"rightResp"	"exampleSortMoves"	"sortMoves"	"sortTime"	"sortAcc"	"testAcc"	"testTime"	"aveUniqueCWordNBPercentCor"	"aveCWordLengthNBCor"	"origAcc"
"p662342"	"passive"	"A1P9OBGX73AGSL"	0	0	0	0	0	0	0	0	0	"pbp09"	"I try to imagine the figure moving."	"I think about the direction of the scene."	19	16	42778	0.75	0.25	21511	0.285384331116038	4.25	0.285714285714286
"p662426"	"active"	"A3CBQ1VIB80UBF"	1	1	1	1	1	1	1	1	1	"pbp16"	"the ball is to the left of the square"	"the ball is to the right of the square"	15	18	43590	0.666666666666667	0.375	30643	0.355523072060683	3.21428571428571	0.478260869565217
"p665907"	"active"	"A8NA3QQ786WMO"	0	0	0	0	0	0	0	0	0	"pbp11b"	"the way they were falling"	"the way they were falling"	14	17	27103	0.705882352941177	0.625	20323	0.327441706082483	2.82051282051282	0.380952380952381
"p666704"	"passive"	"A3VD7G78FDYQQE"	1	1	1	1	1	1	1	1	1	"pbp16"	"circle is left of square"	"circle is right of square"	12	14	68378	0.857142857142857	0.875	42805	0.355523072060683	3.21428571428571	0.478260869565217
"p677260"	"passive"	"A28I5Z52IUGM3S"	1	1	1	1	1	1	1	1	1	"pbp16"	"Circle is to the left of the square."	"Circle is to the right of the square."	12	13	63752	0.923076923076923	1	29420	0.355523072060683	3.21428571428571	0.478260869565217
"p678784"	"active"	"A1U8V8MATNRZN4"	0	0	0	0	0	0	0	0	0	"pbp02"	""	""	22	17	45600	0.705882352941177	0.25	76057	0.322265491562479	2.6304347826087	0.875
"p680792"	"passive"	"ACS097G9ELES4"	1	1	1	1	1	1	0	0	0	"pbp26"	"Circle to the right of square"	"Circle to the left of square"	17	15	33892	0.8	0.25	32427	0.298013041338583	2.96511627906977	0.35
"p68265"	"active"	"A1ZBEV6KM69QKI"	1	1	1	1	1	1	1	1	1	"pbp26"	"the circle heading right"	"the circle heading left"	14	16	84294	0.75	0.75	53094	0.298013041338583	2.96511627906977	0.35
"p683644"	"passive"	"AO9GF4NZ94EQI"	0	0	0	0	0	0	0	0	0	"pbp11b"	"seemed to fall left"	"seemed to go right"	16	17	40578	0.705882352941177	0.125	31924	0.327441706082483	2.82051282051282	0.380952380952381
"p684834"	"active"	"A2P53S6010KQBL"	1	1	1	1	1	1	1	1	1	"pbp11b"	"they are all close together"	"they are all farther apart"	17	16	36444	0.75	1	33316	0.327441706082483	2.82051282051282	0.380952380952381
"p687121"	"passive"	"A2FE6HDHREXIJ5"	1	1	1	1	1	1	1	1	1	"pbp02"	"one object in scene"	"two objects in scene"	14	14	47686	0.857142857142857	1	28495	0.322265491562479	2.6304347826087	0.875
"p688136"	"active"	"A1ACBSSC38GQGX"	1	1	1	1	1	1	1	1	1	"pbp09"	"these objects seem to be moving in opposite directions"	"these objects seem to be moving in the same direction"	20	17	254403	0.705882352941177	0.5	112226	0.285384331116038	4.25	0.285714285714286
"p690447"	"active"	"A2ESBX4C2Q6TQY"	0	0	0	0	0	0	0	0	0	"pbp18"	"flat and down"	"flat and up"	13	18	178139	0.666666666666667	0.375	42654	0.304831932773109	3.2375	0.208333333333333
"p693728"	"active"	"A3L3LCVFVH8LUD"	0	0	0	0	0	0	0	0	0	"pbp13"	"Not sure"	"guessed"	12	17	56243	0.705882352941177	0	68769	0.508420208500401	3.46	0.115384615384615
"p700462"	"passive"	"A2M40DL4N3G8GV"	1	1	1	1	1	1	1	1	1	"pbp02"	"there is one object"	"there are 2 objects"	17	15	35301	0.8	1	23403	0.322265491562479	2.6304347826087	0.875
"p704917"	"active"	"A2C6DY9MK7V6Z4"	0	0	0	0	0	0	0	0	0	"pbp11b"	"fall in the center"	"fall to the sides"	15	18	48064	0.666666666666667	0.375	27761	0.327441706082483	2.82051282051282	0.380952380952381
"p709443"	"passive"	"A1ESM3HT7G0E6Z"	0	0	0	0	0	0	0	0	0	"pbp13"	"Shapes are unlikely to fall."	"Shapes are unstable/easy to fall."	15	15	130632	0.8	0.75	81831	0.508420208500401	3.46	0.115384615384615
"p716057"	"passive"	"A1OZPLHNIU1519"	0	0	0	1	1	1	0	0	0	"pbp24"	"centered and vertically straight"	"not centered and asymmetical"	13	20	99465	0.6	0.75	82041	0.307647058823529	4.45588235294118	0.173913043478261
"p717319"	"passive"	"ADBTHA9M2OHJ5"	1	1	1	1	1	1	1	1	1	"pbp02"	"Only one item appeared in the scenes."	"Two items appeared in the scenes."	15	12	57066	1	1	42737	0.322265491562479	2.6304347826087	0.875
"p718290"	"active"	"A1SVJ3W7SDH63H"	1	1	1	1	1	1	1	1	1	"pbp28"	"able to move by being rolled around"	"not able to be rolled around"	12	16	117784	0.75	0.875	88009	0.55625	3.75	0.521739130434783
"p718862"	"active"	"A31B5GQ1MW9PEJ"	1	1	1	1	1	1	1	1	1	"pbp09"	"Will fall/move in opposite direction."	"Will fall/move in the same direction."	12	13	58308	0.923076923076923	1	38167	0.285384331116038	4.25	0.285714285714286
"p719234"	"passive"	"A2VSYHY8F3Z062"	0	0	0	0	0	0	0	0	0	"pbp18"	"shapes falling downward"	"shapes moving upward"	16	18	118766	0.666666666666667	0.25	78398	0.304831932773109	3.2375	0.208333333333333
"p722056"	"active"	"AQM1P6FBDL6YO"	0	0	0	0	0	0	0	0	0	"pbp18"	"the angles"	"the angles facing another way"	13	14	60161	0.857142857142857	0.5	51469	0.304831932773109	3.2375	0.208333333333333
"p723161"	"passive"	"A2YN3DWFW61LA2"	0	0	1	1	0	1	0	0	1	"pbp19"	"floating"	"on ground"	16	20	72125	0.6	0.625	45336	0.490123456790123	3.48076923076923	0.15
"p726098"	"active"	"AVR6APJRJK7EF"	1	1	1	1	1	1	0	0	1	"pbp09"	"fall differently"	"fall the same"	12	14	59290	0.857142857142857	0.875	43796	0.285384331116038	4.25	0.285714285714286
"p729078"	"active"	"A2BPBFN87X32NO"	0	0	0	0	0	0	0	0	0	"pbp18"	"will stop moving"	"will not stop moving"	12	16	66222	0.75	0.375	30813	0.304831932773109	3.2375	0.208333333333333
"p730971"	"passive"	"A1JMB9Z7EYHU1O"	0	0	0	0	0	0	0	0	0	"pbp26"	"The image went in opposite direction"	"The image went in the same direction"	18	19	91832	0.631578947368421	0.25	40566	0.298013041338583	2.96511627906977	0.35
"p762409"	"active"	"A21FWAKDBDTJBE"	1	1	1	1	1	1	1	1	1	"pbp18"	"end touching"	"end not touching"	12	19	78032	0.631578947368421	1	75460	0.304831932773109	3.2375	0.208333333333333
"p768486"	"active"	"A1RK314J53UK1N"	0	0	0	0	0	0	0	0	0	"pbp24"	"unknown"	"unknown"	20	16	28721	0.75	0.375	18849	0.307647058823529	4.45588235294118	0.173913043478261
"p776084"	"passive"	"A8FRI601N947R"	1	1	1	1	1	1	1	1	1	"pbp16"	"circle on left"	"square on left "	12	12	56243	1	1	39875	0.355523072060683	3.21428571428571	0.478260869565217
"p778760"	"passive"	"A14HF8GDFVH1KF"	1	1	1	1	1	1	1	1	1	"pbp11b"	"object proximity close together"	"object proximity far apart"	12	14	63416	0.857142857142857	1	85985	0.327441706082483	2.82051282051282	0.380952380952381
"p784025"	"active"	"AY62M3SXPNANR"	0	0	0	0	0	0	0	0	0	"pbp24"	"Falls to the left"	"Falls to the right"	12	18	42998	0.666666666666667	0.625	28627	0.307647058823529	4.45588235294118	0.173913043478261
"p786063"	"passive"	"A5TI9UQEPLNWI"	1	1	1	1	1	1	1	1	1	"pbp28"	"Given a little inertia, object will roll indefinitely"	"Object would soon stop tumbling"	14	18	215410	0.666666666666667	0.875	85433	0.55625	3.75	0.521739130434783
"p788736"	"passive"	"A33Z8XPZ94UGT2"	0	0	0	0	0	0	0	0	0	"pbp19"	"objects move to the right"	"objects move to the left"	16	15	76718	0.8	0.375	53466	0.490123456790123	3.48076923076923	0.15
"p789228"	"passive"	"A4E1UYPDHE8D8"	1	1	1	1	1	1	1	1	1	"pbp16"	"Circle comes before square"	"Square comes before circle"	16	12	86671	1	1	59103	0.355523072060683	3.21428571428571	0.478260869565217
"p793086"	"active"	"A1LA46VH87ZPC4"	0	0	0	0	0	0	0	0	0	"pbp28"	"mainly circles and items that increased in number or size"	"advancing shapes that are similar shapes that had something taken away or given"	15	15	41830	0.8	0.5	45625	0.55625	3.75	0.521739130434783
"p795929"	"passive"	"A1E5PWE8O010XK"	0	0	0	0	0	0	0	0	0	"pbp26"	"unbalanced"	"balanced "	14	18	69135	0.666666666666667	0.75	42248	0.298013041338583	2.96511627906977	0.35
"p815175"	"active"	"A289D98Z4GAZ28"	0	0	0	1	1	0	0	0	0	"pbp09"	"when the object fall they get further or closer to each other"	"when the objects fall they stay the same distance from each other"	12	14	129222	0.857142857142857	1	71691	0.285384331116038	4.25	0.285714285714286
"p816279"	"passive"	"A3G79KHMDV51Q8"	1	1	1	1	1	1	1	1	1	"pbp26"	"the ball is rolling right of the objects below"	"the ball is rolling left of the objects below"	13	17	84570	0.705882352941177	0.875	68018	0.298013041338583	2.96511627906977	0.35
"p817134"	"active"	"A1KHF6KTBO6X1P"	0	0	0	0	0	0	0	0	0	"pbp13"	"They look alike."	"These look alike also."	22	15	68517	0.8	0.625	56722	0.508420208500401	3.46	0.115384615384615
"p819567"	"active"	"A1TA30P0NOOGE2"	0	0	0	1	1	1	0	0	0	"pbp24"	"symmetirical"	"not symmetrical"	15	15	87553	0.8	0.625	69513	0.307647058823529	4.45588235294118	0.173913043478261
"p826617"	"passive"	"AHMY1JVN5YZSD"	0	0	0	1	1	1	0	0	0	"pbp09"	"symmetrical or movement towards/away from the center"	"asymmetrical or movement towards one side"	13	22	69563	0.545454545454545	0.625	46111	0.285384331116038	4.25	0.285714285714286
"p83382"	"active"	"AZNIEFUIVB2H0"	1	1	1	1	1	1	1	1	1	"pbp02"	"singular object in frame"	"two objects in frame"	12	13	130510	0.923076923076923	1	44118	0.322265491562479	2.6304347826087	0.875
"p841658"	"active"	"A2RDNYV4SH5E89"	0	0	0	1	1	1	0	0	0	"pbp24"	"Centered"	"Off-center"	13	20	94234	0.6	0.625	45951	0.307647058823529	4.45588235294118	0.173913043478261
"p842105"	"active"	"A7BXV70PRJT52"	1	1	1	1	1	1	1	1	1	"pbp04"	"Squares"	"Circles"	12	14	50339	0.857142857142857	1	24843	0.349397590361446	2.075	0.625
"p847573"	"passive"	"A2H5V1V8QIY8Y7"	0	0	0	0	0	0	0	0	0	"pbp11b"	""	""	12	16	423804	0.75	0.5	94541	0.327441706082483	2.82051282051282	0.380952380952381
"p848547"	"passive"	"AGTEASN3HNC20"	1	1	1	1	1	1	1	1	1	"pbp02"	"Single shape"	"Two shapes"	13	17	48504	0.705882352941177	0.75	36786	0.322265491562479	2.6304347826087	0.875
"p855227"	"passive"	"A2ED3OFN0R54UA"	0	0	0	0	0	0	0	0	0	"pbp13"	"fall to the left"	"fall to the right"	14	16	57883	0.75	0.375	29700	0.508420208500401	3.46	0.115384615384615
"p858319"	"active"	"APFNC80RGBQNK"	0	0	0	0	0	0	0	0	0	"pbp13"	"The objects are static and won't move"	"The objects will move."	12	18	76723	0.666666666666667	0.75	48854	0.508420208500401	3.46	0.115384615384615
"p879671"	"passive"	"A142ZRU284W9O"	1	1	1	1	1	1	1	1	1	"pbp09"	"the two green items would fall in opposite directions"	"the two green items would fall in the same direction"	13	13	31378	0.923076923076923	1	28372	0.285384331116038	4.25	0.285714285714286
"p88467"	"passive"	"AHAS7F2WYBLSI"	0	0	0	0	0	0	0	0	0	"pbp19"	"They are falling rapidly"	"They are falling not as fast"	12	18	55931	0.666666666666667	0.25	33810	0.490123456790123	3.48076923076923	0.15
"p891647"	"active"	"AXVCQ8XXT4IID"	1	1	1	1	1	1	1	1	1	"pbp28"	"the objects are not stable they can move"	"the objects are more stable they dont really move"	14	20	122369	0.6	0.875	43141	0.55625	3.75	0.521739130434783
"p891913"	"passive"	"A3MRB8TFD1IUS6"	1	1	1	1	1	1	1	1	1	"pbp04"	"all squares"	"all circles"	12	14	61057	0.857142857142857	1	25203	0.349397590361446	2.075	0.625
"p894502"	"passive"	"A3AY20RTOQD3NU"	1	1	1	1	1	1	1	1	1	"pbp19"	"Will fall through air to the ground."	"Will not fall through air to the ground."	12	14	48183	0.857142857142857	0.875	36538	0.490123456790123	3.48076923076923	0.15
"p898318"	"passive"	"A1BBVMYVRS47T4"	0	0	0	0	0	0	0	0	0	"pbp24"	"I don't see a rule"	"I don't see a rule"	16	26	199089	0.461538461538462	0.5	83000	0.307647058823529	4.45588235294118	0.173913043478261
"p909564"	"passive"	"A3NB6NWQE1YXXI"	1	1	1	1	1	1	1	1	1	"pbp04"	"These are boxes"	"These are circles"	12	15	90356	0.8	1	48714	0.349397590361446	2.075	0.625
"p913708"	"passive"	"ATHS9CW2FLYUY"	0	0	0	0	0	0	0	0	0	"pbp19"	"I used the after/before relationship after a few rule checks to categorize them afterwards."	"The placement and similarity of these images were closer in more regards than the left side."	17	17	56216	0.705882352941177	0.625	70258	0.490123456790123	3.48076923076923	0.15
"p914435"	"passive"	"A1KHTWPX08L8HS"	0	0	0	0	0	0	0	0	0	"pbp18"	"Going to fall to the left or closer to the left side of screen."	"Going to fall to the right or closer to the right side."	12	17	72173	0.705882352941177	0.625	72015	0.304831932773109	3.2375	0.208333333333333
"p916000"	"active"	"A2CR879QNKLWCS"	0	0	0	0	0	0	0	0	0	"pbp19"	"go the opposite way from right scenes"	"go opposite from left scenes"	18	21	94739	0.571428571428571	0.375	73351	0.490123456790123	3.48076923076923	0.15
"p926945"	"active"	"AB9OKOQAD8OSP"	1	1	1	1	1	1	0	0	0	"pbp19"	"Potential to fall"	"No potential to fall"	12	17	76822	0.705882352941177	0.875	81627	0.490123456790123	3.48076923076923	0.15
"p928183"	"passive"	"A2W3QPD493MHEI"	1	1	1	1	1	1	1	1	1	"pbp02"	"Only One Object"	"Two objects"	15	14	26560	0.857142857142857	1	27481	0.322265491562479	2.6304347826087	0.875
"p929186"	"active"	"A2FN0MPGK61HW"	1	1	1	1	1	1	0	0	0	"pbp13"	"no space in between pieces"	"space in between pieces"	12	21	83582	0.571428571428571	0.75	41134	0.508420208500401	3.46	0.115384615384615
"p929643"	"active"	"A3MSD8X8VC7ESQ"	0	0	0	0	0	0	0	0	0	"pbp18"	"I honestly don't know."	"I honestly don't know."	14	20	65582	0.6	0.625	75867	0.304831932773109	3.2375	0.208333333333333
"p930057"	"passive"	"AWZ83IBW10B96"	0	0	0	0	0	0	0	0	0	"pbp18"	"balls are heavy"	"balls are light"	13	17	193749	0.705882352941177	0.75	80338	0.304831932773109	3.2375	0.208333333333333
"p930129"	"passive"	"A3P23Q72KQ164T"	1	1	1	1	1	1	0	1	0	"pbp04"	"four-sided figures"	"round figures"	14	12	50513	1	1	28729	0.349397590361446	2.075	0.625
"p936104"	"passive"	"AVOF14300525D"	0	0	0	0	0	0	0	0	0	"pbp18"	"They fell to the right. "	"They fell to the left. "	15	17	118255	0.705882352941177	0.375	51260	0.304831932773109	3.2375	0.208333333333333
"p936163"	"passive"	"AHPOOKYE7V04D"	1	1	1	1	1	1	1	1	1	"pbp28"	"They can roll"	"They can't roll"	12	20	105050	0.6	0.375	50859	0.55625	3.75	0.521739130434783
"p941544"	"active"	"A115UFR6VA6OM1"	1	1	1	1	1	1	1	1	1	"pbp11b"	"OBJECTS CLOSE TOGETHER"	"OBJECTS SPACED FURTHER APART"	13	18	80539	0.666666666666667	0.75	60225	0.327441706082483	2.82051282051282	0.380952380952381
"p941771"	"passive"	"A2QX2B50DM45E2"	0	0	0	0	0	0	0	0	0	"pbp09"	"They are perpendicular."	"Are opposites."	19	15	50863	0.8	0.5	45236	0.285384331116038	4.25	0.285714285714286
"p947007"	"active"	"A2W0SQJ0A21E96"	0	0	0	1	1	1	0	0	0	"pbp26"	"These fall to the left."	"These fall to the right."	15	22	126364	0.545454545454545	0	91112	0.298013041338583	2.96511627906977	0.35
"p948823"	"active"	"ALEJWTTZHO3AV"	1	1	1	1	1	1	1	1	1	"pbp19"	"Objects will be in the air at some point."	"Objects are always on the grounds."	12	15	41159	0.8	0.875	30977	0.490123456790123	3.48076923076923	0.15
"p957154"	"active"	"A2ADDMNS8KVPYV"	1	1	1	1	1	1	1	1	1	"pbp04"	"squares in number order : 1,2,3"	"circles in number order : 1,2,3"	14	15	38497	0.8	1	30179	0.349397590361446	2.075	0.625
"p960619"	"passive"	"A1K0TANCR2KNO7"	0	0	0	0	0	0	0	0	0	"pbp28"	"scenes matched"	"items were moving towards the right"	16	15	41313	0.8	0.5	20875	0.55625	3.75	0.521739130434783
"p963351"	"active"	"A3672FHRNOYTSS"	0	0	0	1	1	1	0	0	0	"pbp24"	"centered"	"off-centered"	15	14	59881	0.857142857142857	0.875	26434	0.307647058823529	4.45588235294118	0.173913043478261
"p972445"	"active"	"A1K1BUQY968K99"	0	0	0	0	0	0	0	0	0	"pbp24"	"there isnt one"	"There isnt one"	12	18	68201	0.666666666666667	0.625	51868	0.307647058823529	4.45588235294118	0.173913043478261
"p975630"	"passive"	"A2Z3BPBGWRIDHM"	1	1	1	1	1	1	1	1	1	"pbp04"	"they are all square"	"they are all circles"	14	18	91044	0.666666666666667	1	35180	0.349397590361446	2.075	0.625
"p9766"	"active"	"A3OT61DL0DY283"	0	0	0	0	0	0	0	0	0	"pbp18"	"leaning to the left"	"leaning to the right"	18	18	67442	0.666666666666667	0.5	60792	0.304831932773109	3.2375	0.208333333333333
"p978594"	"passive"	"A2EY0R9GUHBNQX"	0	0	0	0	0	0	0	0	0	"pbp13"	"objects going to fall to the left"	"objects going to fall towards the right"	12	17	63539	0.705882352941177	0.125	35144	0.508420208500401	3.46	0.115384615384615
"p979064"	"active"	"A2250L5WNYCTE1"	0	0	0	0	0	0	0	0	0	"pbp11b"	"falling to the left"	"falling to the right"	13	18	86180	0.666666666666667	0.5	65921	0.327441706082483	2.82051282051282	0.380952380952381
"p981102"	"passive"	"AROCCOID43T7K"	0	0	0	1	1	1	0	0	0	"pbp24"	"The objects are lined up with each other."	"The objects are NOT lined up with each other."	12	15	54969	0.8	0.875	22207	0.307647058823529	4.45588235294118	0.173913043478261
"p990533"	"passive"	"AED9VFTOPEO53"	1	1	1	1	1	1	1	1	1	"pbp09"	"Fall or move in different directions."	"Fall or move in the same direction."	14	18	94046	0.666666666666667	0.625	107781	0.285384331116038	4.25	0.285714285714286
"p990861"	"active"	"A1C3XJHRDUGLJK"	1	1	1	1	1	1	1	1	1	"pbp16"	"Circle on the left"	"Circle on the right"	13	12	27979	1	1	20859	0.355523072060683	3.21428571428571	0.478260869565217
